text,intent,sub_intent
"what can you help me with",capabilities,
"what are you designed to do",capabilities,
"what are you made to do",capabilities,
"show me what you can do",capabilities,
"tell me your functions",capabilities,
"how do you operate",capabilities,
"how do you work",capabilities,

"tell me about lasagne",recipe_details,
"show me details for this recipe",recipe_details,
"give me details about that dish",recipe_details,
"what's in this recipe",recipe_details,
"what ingredients does it use",recipe_details,
"tell me the ingredients for lasagne",recipe_details,
"describe this recipe",recipe_details,
"give me an overview for this recipe",recipe_details,
"what diets does this recipe fit",recipe_details,
"tell me more about it",recipe_details,
"tell me more about ",recipe_details,
"what does this recipe include",recipe_details,
"what are the details of this recipe",recipe_details,
"tell me the recipe details",recipe_details,
"give me information about this recipe",recipe_details,
"what goes into making lasagne",recipe_details,
"tell me about this dish",recipe_details,
"whats in it",recipe_details,
"what ingredients are needed",recipe_details,
"give me info on this recipe",recipe_details,
"show me what this recipe contains",recipe_details,
"recipe information please",recipe_details,
"what do I need for this",recipe_details,
"tell me the details",recipe_details,
"describe that recipe",recipe_details,
"whats this recipe about",recipe_details,
"tell me about pancakes",recipe_details,
"give me details on pizza",recipe_details,
"what is in chicken curry",recipe_details,
"show details for pasta",recipe_details,
"tell me ingredients for soup",recipe_details,
"describe the lasagne recipe",recipe_details,
"what does the recipe need",recipe_details,
"show me recipe info",recipe_details,
"give me an overview",recipe_details,
"whats included in this",recipe_details,
"recipe overview please",recipe_details,
"tell me what ingredients",recipe_details,
"describe it for me",recipe_details,
"give me more info on that",recipe_details,
"show me the ingredients list",recipe_details,
"tell me about that recipe",recipe_details,
"whats needed for this recipe",recipe_details,
"explain this recipe",recipe_details,
"what are the components",recipe_details,

"find me a recipe",recipe_search,
"find me a recipe please",recipe_search,
"please find me a recipe",recipe_search,
"what can i eat today",recipe_search,
"what can i cook",recipe_search,
"what should i eat",recipe_search,
"what should i cook",recipe_search,
"what should i cook today",recipe_search,
"what can i cook today",recipe_search,
"i want a recipe",recipe_search,
"give me a recipe",recipe_search,
"suggest a recipe",recipe_search,
"suggest a recipe please",recipe_search,
"please suggest me a recipe",recipe_search,
"show me a recipe",recipe_search,
"i want to cook something",recipe_search,
"what should i make today",recipe_search,
"find a meal for me",recipe_search,
"give me a meal idea",recipe_search,
"give me a something to cook",recipe_search,
"give me a something to make",recipe_search,
"show something i can cook",recipe_search,
"recommend something to cook",recipe_search,
"give me some cooking ideas",recipe_search,
"i dont know what to eat",recipe_search,
"im not sure what to cook",recipe_search,
"i want something to cook",recipe_search,
"give me some recipe ideas",recipe_search,
"show me food ideas",recipe_search,
"help me decide what to cook",recipe_search,

"i want a vegetarian dinner",recipe_filter_search,
"show me a vegan meal",recipe_filter_search,
"find me a healthy dinner",recipe_filter_search,
"suggest a vegetarian recipe",recipe_filter_search,
"give me a vegetarian dish",recipe_filter_search,
"i need a low calorie meal",recipe_filter_search,
"i want gluten free dinner",recipe_filter_search,
"find a dairy free recipe",recipe_filter_search,
"do you know a keto meal",recipe_filter_search,
"show me high protein meals",recipe_filter_search,
"what can I cook with chicken",recipe_filter_search,
"what can I make with rice",recipe_filter_search,
"i have chicken and rice",recipe_filter_search,
"i have tomatoes what can I make",recipe_filter_search,
"recipe ideas with vegetables",recipe_filter_search,
"what can I make with bread",recipe_filter_search,
"i have salmon what can i cook",recipe_filter_search,
"i have flour sugar and eggs",recipe_filter_search,
"recipe ideas using fish",recipe_filter_search,
"what meal can I make using beef",recipe_filter_search,
"find me a paleo recipe",recipe_filter_search,
"i want something low fat",recipe_filter_search,
"show me sugar free recipes",recipe_filter_search,
"give me a plant based meal",recipe_filter_search,
"i need a diabetic friendly recipe",recipe_filter_search,
"find me a nut free dinner",recipe_filter_search,
"whats a good vegetarian option",recipe_filter_search,
"show me recipes with potatoes",recipe_filter_search,
"i have eggs and milk",recipe_filter_search,
"what can I make with pasta",recipe_filter_search,
"recipes with ground beef",recipe_filter_search,
"i have chicken breast",recipe_filter_search,
"what can I cook with shrimp",recipe_filter_search,
"show me low carb meals",recipe_filter_search,
"i want a high fiber recipe",recipe_filter_search,
"find pescatarian meals",recipe_filter_search,
"show me whole30 recipes",recipe_filter_search,
"i need a soy free meal",recipe_filter_search,
"recipes using spinach",recipe_filter_search,
"what can I make with carrots",recipe_filter_search,
"i have onions and garlic",recipe_filter_search,
"show me recipes with mushrooms",recipe_filter_search,
"what dishes use broccoli",recipe_filter_search,
"i have leftover chicken",recipe_filter_search,
"recipes with sweet potatoes",recipe_filter_search,
"what can I make with beans",recipe_filter_search,
"show me recipes with lentils",recipe_filter_search,
"i have ground turkey",recipe_filter_search,
"what can I cook with pork",recipe_filter_search,
"recipes using tofu",recipe_filter_search,
"i have bell peppers",recipe_filter_search,
"what meals use zucchini",recipe_filter_search,
"show me recipes with cheese",recipe_filter_search,
"i have yogurt what can i make",recipe_filter_search,
"recipes with quinoa",recipe_filter_search,
"what can I make with oats",recipe_filter_search,
"show me grain free recipes",recipe_filter_search,
"i want an organic meal",recipe_filter_search,

"how do I make pancakes",recipe_steps,
"how to make pizza",recipe_steps,
"lets make it",recipe_steps,
"lets cook that",recipe_steps,
"lets make this",recipe_steps,
"what are the instructions for that",recipe_steps,
"can you give me the instructions for that",recipe_steps,
"give me the steps",recipe_steps,
"show me how to cook pasta",recipe_steps,
"can you show me how to cook lasagne",recipe_steps,
"how to prepare chicken curry",recipe_steps,
"do you know how to prepare chicken curry",recipe_steps,
"guide me through making this",recipe_steps,
"can you guide me through the steps for that",recipe_steps,
"teach me how to cook this",recipe_steps,
"can you teach me how to cook this",recipe_steps,
"walk me through this recipe",recipe_steps,
"can you walk me through that recipe",recipe_steps,
"help me cook this meal",recipe_steps,
"can you help me cook that",recipe_steps,
"help me prepare fish",recipe_steps,
"can you help me prepare fish",recipe_steps,
"help me with the steps for that",recipe_steps,
"help me on the instructions for that",recipe_steps,
"do you know the instructions for that",recipe_steps,
"start cooking instructions",recipe_steps,
"give me the cooking steps",recipe_steps,
"begin recipe instructions",recipe_steps,
"show step by step cooking",recipe_steps,
"how do I cook this dish",recipe_steps,
"show me step-by-step",recipe_steps,
"give instructions to cook it",recipe_steps,
"start the recipe guide",recipe_steps,
"talk me through cooking this",recipe_steps,
"can you cook that",recipe_steps,
"do you know how to cook lasagne",recipe_steps,
"do you know how to make pizza",recipe_steps,

"save this recipe",recipe_save,
"save meal",recipe_save,
"save pizza",recipe_save,
"save lasagne",recipe_save,
"can you save that one",recipe_save,
"add this to my saved recipes",recipe_save,
"add this to my saved",recipe_save,
"put this in my favourites",recipe_save,
"add this to my favourites",recipe_save,
"favourite that one",recipe_save,
"can you favourite it please",recipe_save,
"favourite this recipe",recipe_save,
"remember this recipe",recipe_save,
"store this recipe",recipe_save,
"keep this recipe for me",recipe_save,
"save that one",recipe_save,
"add to my saved meals",recipe_save,
"save this meal",recipe_save,
"add that to favourites",recipe_save,
"put that in saved recipes",recipe_save,
"save this for later",recipe_save,
"add to my saved list",recipe_save,
"add to my saved list please",recipe_save,
"bookmark this recipe",recipe_save,
"save this dish",recipe_save,
"put this aside for later",recipe_save,
"please save this recipe",recipe_save,
"remember this meal",recipe_save,
"remember that recipe for the future",recipe_save,

"what are my saved recipes",recipe_recall,
"show me my saved recipes",recipe_recall,
"show me my favourites",recipe_recall,
"what is in my favourites",recipe_recall,
"open my saved recipes",recipe_recall,
"open my favourites",recipe_recall,
"what did I save",recipe_recall,
"show saved recipes",recipe_recall,
"which recipes did I save",recipe_recall,
"what recipes have I saved",recipe_recall,
"whats in my favourites",recipe_recall,
"whats in my list of saved",recipe_recall,
"whats in my favourites",recipe_recall,
"show me meals I saved",recipe_recall,
"what meals did I favourite",recipe_recall,
"list my saved recipes",recipe_recall,
"show my stored recipes",recipe_recall,
"retrieve my saved meals",recipe_recall,
"open my saved list",recipe_recall,
"view my favourites",recipe_recall,
"bring up saved recipes",recipe_recall,
"what dishes have I saved",recipe_recall,
"show favourite meals",recipe_recall,
"what do i have saved",recipe_recall,
"what do i have stored",recipe_recall,
