QuestionID,Question,Answer,Document
Q41,What is the safest temperature to cook chicken,"Chicken must reach an internal temperature of 75°C (165°F) to be safe to eat.",Food safety cooking temperatures
Q42,How long does rice last in the fridge,"Cooked rice lasts 3-4 days if stored in an airtight container in the refrigerator.",Food storage
Q43,How to prevent pasta from sticking,"Stir in the first 2 minutes of cooking and use plenty of boiling salted water.",Pasta cooking tips
Q44,How much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.,Tablespoon
Q45,How to know when pasta is done,"Pasta is done when its "al dente"-tender but firm when bitten.",Pasta tips
Q46,What is searing in cooking,"Searing is quickly browning the outside of meat over high heat to develop flavour.",Cooking terms
Q47,How to rescue oversalted soup,"Add potatoes, cream, or extra stock to dilute saltiness.",Fixing cooking mistakes
Q48,How to boil an egg,"Bring water to a boil, add eggs, and cook 6–10 minutes depending on desired doneness.",Egg cooking
Q49,Why does bread dough need kneading,"Kneading develops gluten, giving bread structure and chewiness.",Baking basics
Q50,How to melt chocolate without burning,"Use a double boiler or microwave in 20-second intervals, stirring often.",Chocolate tips
Q51,What temperature should beef be cooked to,"Rare: 50°C, medium: 60°C, well done: 70°C.",Meat temperatures
Q52,How is stock made,"Simmer bones or vegetables with aromatics for several hours, then strain.",Stock making
Q53,How to reduce bitterness in food,"Add sugar, fat, or acid like lemon juice to balance flavours.",Taste balancing
Q54,Can you eat medium rare chicken,"No. Chicken must always be fully cooked to 75°C for safety.",Food safety
Q55,How to fix lumpy gravy,"Whisk vigorously or blend; start with cold slurry next time.",Cooking fixes
Q56,How to store leftover soup,"Keep in an airtight container for 3-4 days or freeze up to 3 months.",Food storage
Q57,Why do cakes sink,"Underbaking, too much leavening, or opening the oven too soon can cause sinking.",Baking troubleshooting
Q58,How long do spices last,"Whole spices last about 2 years; ground spices lose flavour after 6-12 months.",Spice storage
Q59,How to substitute eggs in baking,"Use applesauce, mashed banana, yogurt, or flaxseed gel depending on recipe.",Ingredient substitution
Q60,What is gluten,"Gluten is a protein in wheat that gives dough elasticity and structure.",Food science
